RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance,Exited
29,15730608,User_28,569,Germany,Male,48,8,1,0,1,184607.7936050656,83034.14830005367,0
30,15756730,User_29,357,Spain,Female,31,9,2,1,0,23733.735921824187,53465.04605681211,1
31,15684478,User_30,693,Spain,Male,47,7,1,0,1,28057.041739972112,0.0,0
32,15722537,User_31,736,France,Female,45,8,2,0,0,87285.8498464896,87267.22919238661,0
33,15749503,User_32,822,France,Female,39,3,2,1,1,68109.07367522092,59212.830128482645,0
34,15730523,User_33,624,Spain,Male,46,10,2,1,0,154451.67516310242,97986.28784088386,0
35,15602747,User_34,702,France,Male,52,1,2,1,1,117668.78982349881,113930.95351012546,0
36,15723855,User_35,415,France,Male,45,2,2,1,1,19211.705059374995,88283.83269668683,0
37,15790222,User_36,428,France,Female,45,7,2,1,1,106919.85129568804,0.0,0
38,15665725,User_37,435,France,Male,41,4,1,1,0,57119.2220507615,119341.0045072046,0
39,15729981,User_38,473,Spain,Male,33,10,1,1,1,81466.85127264995,88234.094237704,0
40,15684654,User_39,551,Spain,Male,41,3,2,1,0,16296.703576058646,140783.29445448593,1
41,15766845,User_40,815,France,Male,40,2,1,1,1,7015.897804593586,122221.2952905704,0
42,15719346,User_41,499,France,Female,42,10,1,1,0,193050.9693788453,0.0,0
43,15667435,User_42,395,Spain,Female,41,2,2,1,1,148346.63460660932,99370.18394523892,0
44,15656886,User_43,462,France,Male,33,9,2,0,0,130641.34214421728,0.0,0
45,15666803,User_44,440,Spain,Female,49,9,1,1,0,135270.3425062072,132453.78495338978,0
46,15631551,User_45,490,Germany,Female,32,6,2,1,0,127533.60842587247,97301.34507762657,1
47,15716216,User_46,638,France,Male,41,10,1,1,1,75861.47185136563,0.0,0
48,15611394,User_47,738,Germany,Female,43,7,2,0,0,99564.27035514101,119606.56399274294,0
49,15669092,User_48,567,Germany,Male,27,4,1,1,0,185054.4798098916,54493.83473142585,0
50,15603890,User_49,426,France,Female,53,7,2,1,0,74173.3071457371,140084.0143765354,0
51,15641606,User_50,760,France,Female,37,8,1,1,1,38245.235035108475,0.0,1
52,15687313,User_51,726,Germany,Female,28,3,2,1,0,10839.58573329903,64828.794378174905,1
53,15741699,User_52,733,France,Male,38,1,2,1,1,52101.07956044083,0.0,0
54,15608792,User_53,683,Germany,Female,28,4,2,1,1,26230.819949310535,98312.55099727829,0
55,15774073,User_54,501,Spain,Male,32,1,1,1,1,130193.5585057376,70366.69710785922,0
56,15754969,User_55,672,France,Male,32,9,2,0,0,47319.275583279414,123993.0334150856,0
57,15668148,User_56,588,France,Female,36,1,1,0,1,66460.5633056236,96582.3398187045,0
58,15724243,User_57,464,France,Female,51,5,1,1,1,19149.961104180722,97649.64939444893,0
59,15720174,User_58,668,France,Male,39,9,1,1,1,87112.41038262747,112689.90490947355,0
60,15754555,User_59,718,Spain,Female,39,10,1,0,0,190967.0349830392,47486.48743484567,0
61,15724358,User_60,443,Germany,Male,33,9,1,0,0,87795.07446884822,112354.40091020716,0
62,15648555,User_61,832,Germany,Male,40,0,2,1,0,150239.46414593706,125231.37351614732,1
63,15617159,User_62,397,France,Female,37,1,2,1,1,114008.5736578171,0.0,1
64,15710510,User_63,540,Germany,Female,37,4,1,0,0,63539.86791565931,103029.0197908009,0
65,15706530,User_64,811,Germany,Male,45,9,2,1,1,188282.59637643772,144855.52330084826,0
66,15680077,User_65,361,Germany,Female,28,4,1,0,1,103644.55333493311,54487.86939341529,0
67,15635920,User_66,505,France,Male,50,9,3,0,0,154410.36265757808,118736.30465870126,0
68,15798193,User_67,521,Germany,Male,18,2,1,1,1,24503.833229830503,110705.33898097226,0
69,15619457,User_68,826,Spain,Male,37,4,1,1,0,45337.0406086759,57984.05292398205,1
70,15797629,User_69,776,France,Female,51,8,1,0,1,90614.05064455546,99670.66606145081,0
71,15678953,User_70,750,Germany,Female,50,1,1,1,0,153901.46839584992,124718.9257456385,1
72,15652995,User_71,645,France,Male,39,5,1,0,0,163162.95272602892,0.0,0
73,15771829,User_72,526,France,Male,29,7,1,0,0,195566.2929872523,95793.10644718955,0
74,15609692,User_73,690,Germany,Female,36,2,2,1,0,190147.79263425368,80884.26285323422,1
75,15776830,User_74,406,France,Female,63,1,2,0,0,84571.35143558805,0.0,0
76,15796769,User_75,692,Germany,Male,45,10,2,1,0,106387.13838371633,95538.89674890046,0
77,15637065,User_76,689,Spain,Male,20,0,1,0,1,5105.7584437917,112102.41608391263,0
78,15699299,User_77,797,France,Female,38,0,1,0,1,97860.01218274425,0.0,0
79,15763678,User_78,552,France,Female,32,10,1,0,1,7398.943912973905,95556.68409698427,0
80,15611534,User_79,534,Germany,Male,25,3,1,1,0,2647.4045159004495,129007.99913000969,1
81,15640397,User_80,470,Spain,Female,42,5,1,1,0,111235.82568997233,136240.45103883932,0
82,15691387,User_81,575,Germany,Male,28,6,2,1,0,179518.8197405607,70984.47186228681,0
83,15601016,User_82,551,Germany,Male,53,7,2,1,1,192988.39775631268,62577.76170013797,0
84,15655591,User_83,679,France,Female,51,7,1,1,0,146790.6900758007,35910.68855124218,0
85,15623247,User_84,712,France,Male,30,9,1,1,1,149487.9233818908,0.0,0
86,15624300,User_85,729,Germany,Male,30,0,1,1,1,88379.75468603382,152129.62349295794,0
87,15682798,User_86,803,Spain,Male,44,7,1,1,1,113315.65447514174,116505.3299797735,0
88,15609268,User_87,705,France,Female,48,9,2,1,0,116826.23226796028,126090.62287890853,1
89,15686807,User_88,565,Germany,Female,35,0,1,1,0,13983.044127263745,101717.75558086981,0
90,15612185,User_89,809,Germany,Male,47,2,2,1,1,9135.356341768957,119693.30974607111,1
91,15794776,User_90,392,Spain,Female,54,4,1,0,1,29091.75673970926,85568.75046491188,0
92,15770171,User_91,724,France,Male,41,10,1,0,1,158955.8920768056,105187.73648388269,0
93,15739643,User_92,372,Spain,Male,27,9,1,1,0,112247.01465876742,0.0,0
94,15638044,User_93,504,Spain,Female,45,9,1,1,1,118251.20294130685,139275.12920055125,0
95,15651214,User_94,535,Germany,Male,39,7,2,1,0,69851.2754168574,114303.32224008143,1
96,15792300,User_95,598,Germany,Female,34,7,3,1,0,173709.85734728718,99420.5049531006,0
97,15714752,User_96,586,Spain,Female,45,5,1,1,1,192699.08592479455,69680.07922948,0
98,15648984,User_97,642,Germany,Male,50,3,2,0,1,42741.84098010275,91307.81716528726,0
99,15640774,User_98,483,Germany,Female,39,3,1,1,1,63006.703182575635,113955.85754210333,0
100,15602568,User_99,670,France,Male,18,7,4,0,0,65630.15060829962,92497.4562214438,1
101,15720151,User_100,739,France,Female,39,10,3,1,0,192563.48482390895,0.0,1
102,15793664,User_101,783,Germany,Male,40,2,1,1,1,103572.44150735906,118626.7511306512,1
103,15798635,User_102,371,France,Male,63,7,3,0,0,113505.99422452266,98588.35113104836,1
104,15733767,User_103,710,France,Female,39,3,2,1,0,73646.63554224337,77555.01737077959,1
105,15724375,User_104,437,France,Female,36,9,4,1,0,179879.5845165376,34393.26355441718,1
106,15779262,User_105,502,France,Male,44,8,2,0,1,38198.538129090615,0.0,0
107,15736330,User_106,474,France,Male,34,1,1,1,0,91431.68241772345,88137.82550542682,0
108,15639504,User_107,428,France,Male,31,9,2,0,0,45105.33433333037,175223.60301777412,0
109,15764231,User_108,695,Germany,Male,22,0,2,1,0,117028.3825204467,141355.46980783355,0
110,15613986,User_109,805,Spain,Male,32,3,1,1,1,109563.37450328539,66497.09077422594,0
111,15661858,User_110,400,Spain,Female,18,8,2,0,1,26255.97211040261,135863.10718589768,0
112,15729312,User_111,565,France,Male,40,6,2,1,0,166126.35679072427,102901.75732509501,0
113,15612666,User_112,525,Spain,Female,40,8,4,1,1,24506.761295989916,0.0,0
114,15638660,User_113,707,Spain,Male,44,8,2,1,1,35313.72780593636,0.0,1
115,15734633,User_114,602,Spain,Female,27,9,1,1,1,54149.118200233985,84434.92137000954,0
116,15626854,User_115,803,France,Male,23,8,3,1,0,162701.2241303598,86722.51002516506,0
117,15664505,User_116,595,France,Female,58,8,2,1,1,40715.55220241784,71615.94502031554,0
118,15704488,User_117,576,Germany,Male,37,6,1,1,1,43859.73722720163,126001.56735622931,0
119,15783323,User_118,455,Spain,Female,44,7,1,1,0,130407.36921024455,0.0,0
120,15622662,User_119,542,Spain,Male,39,1,2,0,0,165946.97788804735,153000.04110444436,0
121,15608392,User_120,665,Spain,Male,45,8,1,1,0,139830.2736673927,119137.18217691191,0
122,15630535,User_121,651,France,Male,40,1,2,1,0,107491.88283129237,57478.43677291393,1
123,15713569,User_122,385,Germany,Male,29,7,3,0,1,130023.29684772395,144889.6231930175,0
124,15652256,User_123,791,France,Female,43,1,1,1,0,109423.82993991752,109643.32750961337,0
125,15689135,User_124,553,Spain,Female,41,10,1,1,0,71368.57381488397,92398.41458094015,0
126,15727478,User_125,771,Germany,Female,21,7,2,1,0,138129.72645631453,72840.44434359325,0
127,15635222,User_126,616,Germany,Male,40,2,1,1,1,137479.61293891966,128239.18078809013,0
128,15677373,User_127,617,France,Male,34,1,2,1,1,126500.68619871279,58205.048675328486,0
129,15723684,User_128,519,France,Female,31,5,1,0,1,127022.66575146539,154600.1325601356,0
130,15794407,User_129,847,Spain,Female,47,5,2,1,0,47256.296465807514,99414.68228714849,0
131,15610965,User_130,388,Germany,Male,37,0,4,0,1,185439.93604838813,33881.5840681453,0
132,15624538,User_131,804,Spain,Female,37,6,1,1,0,198449.61969622012,111139.76995713694,0
133,15708066,User_132,488,Spain,Female,38,10,2,1,0,111128.42872742073,107555.8505386732,1
134,15713252,User_133,641,France,Female,37,0,1,1,0,44765.06237887325,94244.39107490389,0
135,15739182,User_134,401,Spain,Male,37,3,2,1,1,63463.17886407449,154330.51612409978,0
136,15758338,User_135,636,Spain,Female,52,5,1,1,1,147932.27612041146,132601.6445294134,0
137,15784064,User_136,638,Germany,Male,31,7,1,1,1,54433.55849304941,59240.34273515477,0
138,15698806,User_137,490,France,Female,20,10,1,1,0,121735.9528714065,118146.04576125414,0
139,15737982,User_138,495,Germany,Male,38,10,1,0,0,20580.835434453045,126933.14750440043,0
140,15710989,User_139,774,France,Female,28,7,2,1,1,193548.16747059254,86165.94527419902,0
141,15690982,User_140,663,Spain,Female,27,9,1,1,1,168218.6891218435,90724.26135354035,0
142,15721626,User_141,533,Germany,Male,37,6,1,1,1,164329.00574273718,99026.7947441124,1
143,15719176,User_142,501,France,Male,40,10,1,1,1,155277.85664538952,54825.0175486887,0
144,15731278,User_143,550,France,Female,36,4,1,1,0,65.92030772752157,0.0,0
145,15722409,User_144,477,Germany,Male,33,5,1,1,1,13649.81998323336,101142.65409256231,0
146,15623419,User_145,636,Spain,Male,35,7,2,1,0,117809.08158080795,134037.0300624905,0
147,15781708,User_146,660,France,Male,37,2,2,0,0,153729.89521025083,0.0,0
148,15650015,User_147,602,France,Female,37,5,1,0,1,151066.01544143137,0.0,0
149,15722096,User_148,838,Spain,Female,20,3,1,1,1,105847.35390320513,71544.3975391302,0
150,15707059,User_149,615,Germany,Female,46,2,1,1,0,104183.8190289692,77260.30757424589,1
151,15785340,User_150,537,France,Male,23,2,1,1,1,17516.084529745873,0.0,0
152,15710687,User_151,735,Germany,Male,31,3,1,1,1,185731.48235563433,84568.22524694142,0
153,15687939,User_152,579,France,Male,22,5,1,0,0,62584.56482351897,104098.94414743705,0
154,15749213,User_153,620,France,Female,39,10,2,1,0,41987.660259001874,114774.88479134926,0
155,15705878,User_154,608,France,Male,30,0,2,1,0,119343.13526058113,0.0,0
156,15787116,User_155,648,Germany,Male,36,1,1,1,0,4735.361323507852,61823.66485652067,0
157,15798286,User_156,764,France,Female,30,3,1,1,0,192222.84478352615,0.0,0
158,15764899,User_157,547,Germany,Female,27,9,1,0,0,73161.22619691204,55093.386473830156,0
159,15786892,User_158,672,France,Male,18,8,1,0,1,59110.44561741189,0.0,0
160,15662623,User_159,405,Germany,Male,32,7,1,1,0,30334.79418052563,111152.4516613918,0
161,15675450,User_160,668,Germany,Female,25,9,2,1,0,101661.28489945072,106005.6340724682,1
162,15693426,User_161,552,Spain,Female,43,7,1,1,0,77912.57619476004,130555.33188714075,0
163,15717845,User_162,620,Germany,Male,58,10,1,0,1,61308.7622665184,69465.87583173547,0
164,15753371,User_163,458,Spain,Female,56,6,2,0,0,26497.923763841223,86574.9920715332,1
165,15643585,User_164,465,Germany,Male,37,5,2,0,1,65079.55809345532,112196.98358968574,0
166,15709225,User_165,441,France,Female,30,6,2,1,0,164027.73460328663,0.0,0
167,15664044,User_166,487,France,Male,18,5,1,0,1,158903.11853297893,91646.36533271483,0
168,15773629,User_167,771,Spain,Male,33,2,2,1,1,114554.46731999917,109608.7756670259,1
169,15780152,User_168,652,France,Female,28,5,2,1,1,150529.50851576703,130085.98825677078,0
170,15709556,User_169,406,France,Female,30,6,1,0,1,122499.5694207023,140543.0054090873,0
171,15602693,User_170,399,Spain,Female,21,5,2,1,1,23099.493879298498,122394.0231317376,0
172,15695259,User_171,847,France,Female,45,10,2,1,0,185150.211103052,74162.1085567776,0
173,15625939,User_172,420,Spain,Male,43,1,2,0,1,100065.2727652873,67111.6876762582,0
174,15779997,User_173,748,France,Male,28,5,1,1,0,148092.21193921345,184451.06033561673,0
175,15774013,User_174,751,Germany,Male,46,1,1,1,1,175028.14751057845,85858.01918147002,0
176,15752906,User_175,431,Germany,Female,38,0,1,1,1,175860.53388621152,89974.74069173053,0
177,15618047,User_176,721,Germany,Male,43,9,2,1,0,186632.177574254,100895.67102112956,0
178,15626105,User_177,454,France,Male,45,9,2,0,0,129479.97543986927,53101.122238677584,1
179,15675766,User_178,437,Spain,Male,41,9,3,1,0,126657.71887203805,0.0,1
180,15746779,User_179,351,Germany,Female,29,4,1,1,0,47935.82917055556,115808.98533707073,1
181,15753048,User_180,709,Germany,Female,48,3,1,1,1,62838.40028331636,52741.25371335914,0
182,15644262,User_181,433,Germany,Female,45,8,1,1,0,120684.90602425799,80461.10435975187,1
183,15725117,User_182,831,France,Male,45,8,2,1,0,50146.85583196073,64693.894601933855,1
184,15623776,User_183,392,Spain,Female,24,8,2,1,0,71783.99189995928,0.0,0
185,15761152,User_184,503,Germany,Male,23,2,1,1,0,33247.74920137539,89050.2694966757,1
186,15728376,User_185,676,France,Male,53,9,2,1,0,150127.69134386317,125026.6630768155,1
187,15797914,User_186,771,Spain,Male,31,2,2,0,1,126212.91474000788,125982.69871088512,0
188,15792445,User_187,443,Germany,Male,40,2,2,1,0,144774.04588729682,100789.40865349471,0
189,15737848,User_188,647,Spain,Female,50,10,1,1,0,88932.91493205081,93802.72707334625,0
190,15692787,User_189,482,France,Female,54,9,2,1,1,147155.75327523492,0.0,0
191,15727948,User_190,744,Spain,Male,43,4,2,1,1,93138.77032459126,52366.818346442655,0
192,15655016,User_191,414,Germany,Female,32,5,1,1,0,106553.49903009177,107411.27064989481,0
193,15740546,User_192,639,Spain,Male,35,5,1,1,1,25462.281919681296,137078.04383306846,0
194,15789125,User_193,725,Germany,Male,41,2,2,0,1,7296.177664434224,105074.40679705585,0
195,15621959,User_194,606,Spain,Male,39,1,1,1,0,149009.1985602921,102993.63735941616,0
196,15736602,User_195,816,Spain,Male,30,5,1,0,0,178121.78895594054,0.0,0
197,15719101,User_196,735,Spain,Male,18,3,1,1,0,72149.38949570038,120979.73143182254,0
198,15603748,User_197,562,France,Female,30,8,1,1,1,169370.68482414234,60927.028573508345,0
199,15613545,User_198,497,France,Female,35,1,1,1,1,55096.408878088296,63027.04838275124,0
200,15727659,User_199,410,France,Female,37,3,1,0,1,146384.65338580398,0.0,0
201,15797271,User_200,820,France,Male,55,10,2,1,1,116381.52118738132,65994.7070837349,0
202,15765838,User_201,498,France,Female,48,10,3,1,0,6720.084232678513,80824.9345654952,0
203,15673530,User_202,437,France,Female,33,1,2,0,1,48322.05859520971,0.0,0
204,15693557,User_203,673,Germany,Female,43,4,2,0,0,125803.17319976859,61500.36851374185,0
205,15661087,User_204,732,France,Male,18,2,2,1,1,41560.45958500605,98621.33138950387,0
206,15668840,User_205,745,France,Female,50,3,2,1,1,117981.573034194,105620.71458569438,0
207,15718451,User_206,627,France,Female,33,8,2,1,1,141367.26518211843,168036.76737468134,1
208,15785456,User_207,753,Spain,Female,39,9,2,0,0,69323.25466108366,94223.35223416614,0
209,15651005,User_208,431,France,Male,38,10,2,0,1,138288.2909037476,85818.56916281593,0
210,15777648,User_209,478,France,Male,48,4,2,1,0,128574.91558494492,155808.40687121305,1
211,15639353,User_210,635,France,Male,34,8,1,1,0,197462.8100219232,54757.25471831165,0
212,15793075,User_211,731,Germany,Male,46,4,1,1,1,122934.01549559087,174310.35118443478,0
213,15652733,User_212,702,Germany,Male,41,9,1,1,1,55077.93067003149,109708.42285298262,0
214,15665318,User_213,629,Germany,Female,39,8,1,1,1,49446.51060279887,133717.39168720887,1
215,15754736,User_214,619,France,Male,36,7,2,1,1,131938.40833195968,88876.36966948377,0
216,15667172,User_215,641,Spain,Male,32,0,3,1,1,20700.594740578123,58238.45659715453,0
217,15693264,User_216,802,Spain,Male,36,2,1,1,1,45286.507828173024,0.0,0
218,15626736,User_217,552,France,Male,34,4,1,1,1,1803.9736892439266,113556.00752551165,0
219,15712859,User_218,373,France,Male,42,2,1,0,0,102293.56795116326,0.0,0
220,15712181,User_219,793,France,Female,26,9,2,1,0,157128.360306743,65920.27858560684,0
221,15731926,User_220,700,Germany,Male,38,0,2,0,0,102136.38403237553,105675.17574181606,1
222,15690084,User_221,660,France,Female,53,10,1,1,1,57120.70431609425,54448.91400060189,1
223,15769695,User_222,810,France,Male,33,1,2,1,1,167587.9604106735,136495.55595869102,0
224,15607392,User_223,557,France,Female,42,1,2,1,1,96944.75026994008,109771.97523732501,0
225,15655680,User_224,629,Spain,Female,18,3,1,1,1,137947.02703842675,0.0,0
226,15777789,User_225,554,Germany,Male,22,5,1,1,0,197291.95726005413,107011.0296657012,1
227,15650859,User_226,501,Spain,Female,36,1,1,1,0,162746.461479327,0.0,0
228,15725657,User_227,787,Spain,Male,37,5,1,1,0,170106.7270033181,133854.62176592258,1
229,15757381,User_228,375,Spain,Male,38,10,2,1,0,24154.719087773425,112759.57489164981,0
230,15794806,User_229,543,France,Male,59,0,1,1,0,108133.80837124743,10000.0,1
231,15670467,User_230,685,France,Male,32,7,2,0,1,199406.86110782178,0.0,0
232,15783734,User_231,771,Germany,Female,38,2,1,1,0,64746.65416749022,114175.85608182148,1
233,15698506,User_232,587,Germany,Male,30,7,1,0,0,8366.961998758348,43169.62871716112,0
234,15709751,User_233,670,Spain,Male,45,2,1,0,1,6819.872212641767,199438.66010321624,0
235,15718906,User_234,846,France,Male,26,0,2,1,1,195738.51603760832,0.0,0
236,15743760,User_235,424,France,Female,31,3,2,1,0,86854.4159402752,116911.1995516832,0
237,15625342,User_236,784,France,Female,28,2,3,1,0,56977.326241317336,0.0,0
238,15768229,User_237,512,Germany,Female,46,7,1,1,1,102791.56432189251,105252.5056283184,0
239,15798935,User_238,648,Spain,Male,39,0,2,0,0,122038.87228342795,175243.19049709756,0
240,15706308,User_239,378,Germany,Male,40,8,1,1,0,176155.78816675025,92232.51842789323,0
241,15783155,User_240,514,Spain,Male,36,10,1,1,0,88533.08904264188,117254.97718076411,0
242,15706081,User_241,686,France,Male,50,8,1,0,0,170616.4186704612,123523.03543943331,0
243,15796805,User_242,535,France,Male,36,5,1,1,1,52045.67900370709,70585.35308223427,0
244,15689045,User_243,403,France,Male,57,4,1,1,0,109708.33996251653,0.0,1
245,15634698,User_244,644,Spain,Female,50,10,1,1,1,156319.26240365804,109853.31352953166,0
246,15710078,User_245,391,France,Male,23,4,1,0,1,88542.93294853033,0.0,0
247,15680623,User_246,761,Spain,Female,44,5,3,0,0,55516.08599355325,0.0,0
248,15622671,User_247,634,Spain,Female,50,6,2,0,1,161802.0848988681,0.0,0
249,15756256,User_248,776,France,Female,33,7,1,1,1,161454.54510891114,142264.8063404645,0
250,15693384,User_249,736,France,Male,42,2,2,1,1,56468.634150804726,104464.59404929786,0
251,15773179,User_250,849,France,Female,23,9,1,0,0,120978.61188354826,0.0,0
252,15686202,User_251,487,Spain,Female,28,0,1,1,1,49281.82506959011,0.0,0
253,15651663,User_252,536,France,Female,35,4,2,1,0,179262.75879613153,156721.7183323776,0
254,15615708,User_253,839,France,Male,24,10,1,1,1,15033.208718651145,110587.78651952968,0
255,15691906,User_254,747,Germany,Male,38,0,1,1,1,76467.30274498671,133449.36927768966,0
256,15649811,User_255,553,Spain,Female,44,1,2,0,0,130027.76175486475,115158.61069263735,0
257,15733883,User_256,780,Spain,Male,28,7,1,0,0,172048.50523873337,0.0,0
258,15656250,User_257,391,Spain,Male,24,2,2,1,1,159075.88336817172,0.0,0
259,15712547,User_258,699,Germany,Male,22,10,1,0,1,136823.9142929218,137362.7877931945,0
260,15724249,User_259,765,Spain,Female,50,9,2,1,0,185214.55811857304,78794.79261136307,1
261,15634754,User_260,637,France,Male,20,3,1,1,1,4864.7488968614625,108082.55866602373,0
262,15742483,User_261,775,France,Female,40,10,2,1,0,195902.1929119199,101880.26650772947,1
263,15733983,User_262,765,Germany,Male,51,5,1,1,0,69169.15597938644,97858.31735957508,0
264,15798342,User_263,375,Spain,Male,28,7,1,0,0,149652.6504647754,115170.93471983017,0
265,15739752,User_264,720,Spain,Male,29,0,1,1,1,55845.44473966808,110639.20084807437,0
266,15684896,User_265,734,Germany,Female,39,1,1,1,1,82941.60054806346,58131.57510125764,0
267,15671295,User_266,405,Germany,Male,40,10,1,1,1,175196.73180751596,89767.44866340212,0
268,15700689,User_267,602,France,Male,33,5,1,1,0,89643.16889331349,92267.13306264146,0
269,15611111,User_268,471,France,Male,35,7,1,0,1,176968.1619749167,81770.4335697262,0
270,15637504,User_269,455,France,Male,38,7,2,1,0,109807.62074571098,67686.81190063208,0
271,15732874,User_270,479,Germany,Female,33,2,2,1,0,52827.07229860405,87116.75327857188,0
272,15608155,User_271,686,France,Male,34,3,1,1,1,97271.64621570376,91349.10060167774,0
273,15639384,User_272,507,France,Male,57,9,2,1,0,17757.81680551586,0.0,0
274,15712561,User_273,725,France,Male,48,3,1,1,0,95632.95725785644,0.0,0
275,15647254,User_274,580,France,Male,48,3,2,1,1,157535.7111462559,100081.56959219211,0
276,15621918,User_275,804,France,Female,34,1,1,1,1,13779.576626623628,38095.58621285558,1
277,15685981,User_276,657,France,Male,20,5,1,1,1,46692.98028647909,86559.42910934897,0
278,15791785,User_277,440,Spain,Male,62,7,2,0,0,84494.8303366326,0.0,0
279,15630306,User_278,742,France,Male,31,8,2,1,1,151568.98766239875,0.0,0
280,15747718,User_279,371,France,Female,41,0,2,1,0,150220.5251094092,90580.94827540887,0
281,15646843,User_280,639,Germany,Female,45,0,1,1,1,177459.4089016223,99047.29722427954,0
282,15720975,User_281,459,Germany,Male,32,8,1,1,1,29107.18672969236,161264.78226599173,0
283,15696601,User_282,398,France,Female,47,10,1,0,0,31154.32450903554,138272.36394367105,0
284,15707512,User_283,478,France,Female,38,3,2,1,0,133797.60835488536,0.0,0
285,15747443,User_284,422,Spain,Male,35,10,1,0,0,36026.23197441777,84386.67726597858,1
286,15711472,User_285,689,France,Male,32,6,2,1,1,82772.91450263339,78963.52310228374,0
287,15733121,User_286,402,France,Male,28,1,3,0,1,107885.0599784435,120345.11886804488,0
288,15762688,User_287,816,France,Female,19,9,1,1,1,51388.79401256236,0.0,0
289,15703727,User_288,705,France,Female,66,0,2,0,0,138313.9685767186,94735.47708511603,0
290,15712893,User_289,729,Spain,Male,52,10,1,0,1,171596.21694860928,0.0,0
291,15620932,User_290,517,Germany,Female,39,6,1,0,1,2445.9872743805668,91616.91649572269,0
292,15717796,User_291,394,Germany,Male,53,5,2,1,0,57860.048360833454,75318.54847963579,1
293,15629855,User_292,801,Spain,Female,52,2,1,1,0,142441.46219955327,0.0,1
294,15792506,User_293,742,France,Female,43,9,1,1,0,55126.17694538263,45675.26246574853,0
295,15774088,User_294,454,Spain,Female,34,3,2,0,0,104595.7502750044,112989.78842543732,1
296,15607400,User_295,499,France,Male,48,0,2,0,1,151295.11959095226,68665.75203535211,0
297,15717858,User_296,495,France,Male,47,6,1,0,1,68748.46106926144,0.0,0
298,15773714,User_297,553,Spain,Female,45,8,1,0,0,157515.16767394159,150435.6168964906,0
299,15615151,User_298,711,Germany,Male,34,0,1,1,0,163229.15488168085,95499.03608250474,0
300,15782479,User_299,648,France,Male,41,1,3,1,0,198218.76778281026,114361.48704539413,0
301,15666690,User_300,516,Germany,Male,40,1,2,1,0,86468.20321385248,81869.7571554592,0
302,15604499,User_301,550,France,Male,34,5,2,1,1,95164.64944816648,127240.80834321602,0
303,15606295,User_302,483,France,Female,41,4,1,1,0,156579.67009322153,106779.18744722534,0
304,15720885,User_303,560,France,Male,50,5,1,1,0,173597.03118774106,87387.06950521056,0
305,15726071,User_304,397,Spain,Male,53,0,1,1,1,101050.95708292666,45134.749956862084,0
